title,date
三峡科技有限责任公司综合文员招聘公告,2021-01-09 00:00:00
湖北能源集团股份有限公司社会招聘公告,2021-03-02 00:00:00
湖北能源集团股份有限公司第二批社会招聘公告,2021-04-17 00:00:00
上海勘测设计研究院有限公司招聘公告,2021-05-10 16:39:00
上海勘测设计研究院有限公司质量安全部招聘公告,2021-05-06 00:00:00
上海勘测设计研究院有限公司质量安全部招聘公告,2020-04-30 00:00:00
上海勘测设计研究院有限公司长江生态环境工程研究中心招聘公告,2021-04-27 16:59:00
中国长江三峡集团有限公司质量安全监督检查中心招聘公告,2021-04-02 15:00:00
中国长江电力股份有限公司检修厂技能岗位人员社会招聘公告,未知
中国三峡集团科学技术研究院2020年科研助理招聘公告,2020-08-07 00:00:00
中国长江三峡集团有限公司“抗疫稳岗扩就业”社会成熟人才招聘公告（第二批）,2020-08-31 00:00:00
上海勘测设计研究院有限公司勘察检测研究院（工程检测中心）招聘公告,未知
关于三峡科技有限责任公司社会招聘的公告,2020-07-31 00:00:00
中国三峡新能源（集团）股份有限公司股改上市管理岗位社会招聘公告,2020-01-19 06:04:00
长江生态环保集团有限公司社会招聘公告,2019-09-23 00:00:00
三峡国际招标有限责任公司招聘公告,2019-09-18 08:00:00
中国三峡新能源（集团）股份有限公司技术经济中心岗位招聘公告,2019-07-31 00:00:00
长江三峡（成都）电子商务有限公司招聘公告,2019-07-30 00:00:00
中国长江三峡集团有限公司 工程造价中心招聘公告,2019-07-30 00:00:00
长江生态环保集团有限公司招聘公告,2019-05-28 00:00:00
中国长江三峡集团有限公司博士后科研工作站2019年招聘公告,2019-03-26 00:00:00
2019年上半年中国三峡新能源有限公司所属区域管理机构社会招聘公告,2019-03-19 00:00:00
2019年中国三峡新能源有限公司江浙公司电力运维检修岗位社会招聘公告,2019-02-01 00:00:00
中国长江三峡集团公司  工程造价中心招聘公告,2019-01-25 00:00:00
中国三峡南亚投资有限公司综合管理部综合文秘岗位招聘公告,2018-12-24 00:00:00
中国三峡工程博物馆公开选拔工作人员面试公告,2018-11-30 00:00:00
中国长江三峡集团有限公司质量监督检查中心招聘公告 ,2018-10-26 00:00:00
2018年下半年中国三峡新能源有限公司所属区域管理机构社会招聘公告,2018-08-17 00:00:00
中国长江三峡集团新能源科技创新中心招聘公告 ,2018-08-08 00:00:00
中国三峡新能源有限公司部分总部部门及区域管理机构负责人招聘公告,2018-07-19 00:00:00
上海勘测设计研究院有限公司  长江大保护项目专项招聘,2018-06-08 00:00:00
中国长江三峡集团有限公司工程造价中心招聘公告,2018-05-23 00:00:00
长江三峡集团福建能源投资有限公司社会招聘公告,2021-04-20 14:35:00
三峡绿色发展有限公司招聘公告,2020-11-26 21:00:00
三峡集团四川能源投资有限公司招聘公告,2021-06-16 16:00:00
三峡（凉山）能源投资有限公司社会招聘公告,2021-06-16 15:00:00
中国三峡建工（集团）有限公司所属华水公司2021年社会招聘公告,2021-05-21 00:00:00
上海勘测设计研究院有限公司 社会招聘简章,2021-06-12 00:00:00
中国长江三峡集团公司质量安全监督检查中心招聘公告,2021-06-11 00:00:00
上海勘测设计研究院有限公司2021年招聘公告,2021-06-09 00:00:00
