title,date
中国华电集团有限公司湖南分公司本部系统内招聘公告,Fri Jun 18 2021 10:41:21 GMT+0800 (CST)
中国华电集团有限公司经济技术咨询分公司招聘公告,Wed May 26 2021 17:17:26 GMT+0800 (CST)
海南公司所属海南华电儋州能源有限公司面向华电系统招聘的公告,Mon May 24 2021 20:32:11 GMT+0800 (CST)
北京华滨物业管理有限公司天津区域项目经理等岗位招聘公告,Thu May 20 2021 17:54:50 GMT+0800 (CST)
华电广西能源有限公司所属企业面向系统内招聘的公告,Thu Apr 29 2021 14:20:32 GMT+0800 (CST)
中国华电集团有限公司青海分公司本部面向华电系统内外招聘的公告,Tue Apr 27 2021 17:05:12 GMT+0800 (CST)
中国华电集团有限公司河南分公司所属发电企业面向系统内招聘公告,Mon Apr 26 2021 17:42:16 GMT+0800 (CST)
中国华电集团有限公司总部公开招聘公告,Mon Apr 26 2021 16:07:02 GMT+0800 (CST)
广东公司所属部分基层单位面向系统内公开招聘的公告,Mon Apr 26 2021 15:22:34 GMT+0800 (CST)
华电集团北京燃料物流有限公司本部面向系统内公开招聘的公告,Mon Apr 26 2021 15:06:37 GMT+0800 (CST)
上海华电闵行能源有限公司面向集团公司系统内外公开招聘公告,Tue Apr 06 2021 15:07:59 GMT+0800 (CST)
华电综合智慧能源科技有限公司面向系统内外招聘的公告,Thu Apr 01 2021 21:22:06 GMT+0800 (CST)
湖南华电平江发电有限公司面向系统内外招聘的公告,Mon Mar 29 2021 12:15:49 GMT+0800 (CST)
华电西藏能源有限公司（中国华电集团有限公司西藏分公司）公开招聘的公告,Mon Mar 29 2021 12:13:47 GMT+0800 (CST)
中国华电额勒赛下游水电项目（柬埔寨）有限公司面向系统内招聘的公告,Mon Mar 29 2021 12:12:29 GMT+0800 (CST)
华电商业保理（天津）有限公司面向系统内外招聘的公告,Mon Mar 29 2021 12:10:24 GMT+0800 (CST)
中国华电集团资本控股有限公司面向系统内招聘的公告,Mon Mar 22 2021 14:59:00 GMT+0800 (CST)
华电国际电力股份有限公司天津开发区分公司面向系统内招聘的公告,Mon Mar 22 2021 14:57:49 GMT+0800 (CST)
中国华电海外资产管理有限公司面向系统内外招聘的公告,Mon Mar 22 2021 14:56:31 GMT+0800 (CST)
