title,date
华能碳中和研究所公开招聘公告,2021-06-04
华能清能院2021年新能源专业技术人才招聘公告,2021-04-21
中国华能集团有限公司博士后科研工作站2021年度博士后招收启事,2021-03-17
华能清洁能源研究院大数据与人工智能专业技术人才招聘公告,2021-02-16
华能核能技术研究院有限公司招聘公告,2020-12-21
中国华能集团有限公司能源研究院2020年招聘公告,2020-09-14
华能清能院2020年新能源专业技术人才招聘公告,2020-08-25
华能西安热工院科技高端人才招聘公告,2020-05-15
清能院海上风电研发中心招聘公告,2020-03-10
华能煤炭技术研究有限公司招聘公告,2020-03-10
中国华能集团有限公司所属在京单位2020年校园招聘公告,2019-11-15
华能海外企业管理有限公司（中国华能集团有限公司海外事业部、中国华能集团香港有限公司）社会公开招聘公告,2019-11-06
华能煤炭技术研究有限公司面向社会招聘人员公告,2019-08-21
华能煤炭技术研究有限公司2019年面向系统内招聘人员公告,2019-08-21
华能海外企业管理有限公司（中国华能集团有限公司海外事业部、中国华能集团香港有限公司）社会公开招聘公告,2019-08-02
西安热工研究院2019年DCS工控系统开发及网络安全人员招聘公告,2019-07-09
华能清能院2019年新能源研发人员招聘公告,2019-04-26
中国华能集团有限公司所属在京单位2019年度高校毕业生招聘公告,2019-01-02
中国华能集团公司所属在京单位2018年度高校毕业生招聘公告,2018-01-05
中国华能集团公司所属在京单位2017年度高校毕业生招聘公告,2017-02-22
中国华能集团公司在京单位2015年度高校毕业生招聘公告,2015-01-05
华能天成融资租赁有限公司招聘公告,2014-04-08
中国华能集团公司在京单位2014年度高校毕业生招聘公告,2014-02-27
华能西藏发电有限公司（雅江办）公开招聘公告,2013-12-18
西安西热锅炉环保工程有限公司招聘公告,2013-11-19
中国华能集团公司在京单位2012年度毕业生招聘公告,2012-02-07
中国华能集团公司博士后科研工作站2011年度博士后招收启事,2011-06-20
华能碳资产经营有限公司招聘公告,2011-01-19
西安热工研究院有限公司2011年校园招聘信息,2010-12-08
中国华能集团公司青海分公司人员招聘启事,2010-07-22
华能碳资产经营有限公司招聘公告,2010-07-22
华能青海格尔木光伏电站人员招聘启事,2010-04-21
海外高层次人才招聘公告,2010-03-29
中国华能集团公司在京单位2010年度毕业生招聘公告,2009-12-18
中国华能集团公司博士后科研工作站2009～2010年度博士后招收启事,2009-11-17
华能白山煤矸石电厂筹建处招聘启事,2009-09-09
华能集团技术创新中心招聘信息,2009-08-19
海南核电有限公司招聘公告,2009-08-19
华能新疆能源开发有限公司招聘启事（截止至2009年9月5日）,2009-08-18
华能山东石岛湾核电有限公司华能系统人员选聘启事(截止至2009年8月31日),2009-08-10
华能江西分公司招聘启事（截止至2009年7月29日）,2009-07-29
华能南京金陵发电有限公司招聘启事（截止至2009年7月20日）,2009-07-20
华能江苏分公司招聘启事(截止至2009年6月5日）,2009-06-05
华能上海分公司招聘启事(截止至2009年6月5日）,2009-06-05
华能浙江分公司招聘启事(截止至2009年6月5日）,2009-06-05
华能河南分公司招聘启事(截止至2009年6月5日）,2009-06-05
华能河北分公司招聘启事(截止至2009年6月5日）,2009-06-05
华能广东分公司招聘启事(截止至2009年6月5日）,2009-06-05
华能沁北电厂招聘启事(截止至2009年5月25日）,2009-05-25
华能湖南湘祁水电有限责任公司招聘启事(截止至2009年5月15日）,2009-05-15
华能丹东电厂招聘启事（截止至2009年4月30日）,2009-04-30
华能瑞金电厂招聘启事(截止至2009年3月28日),2009-03-28
