title,date
大唐四川发电有限公司所属企业招聘公告,2020-05-28已结束
中国大唐集团太阳能产业有限公司招聘公告,2020-05-12已结束
辽宁庄河核电有限公司招聘启事,2020-04-30已结束
大唐京津冀能源开发有限公司张家口新能源事业部招聘启事,2020-04-26已结束
大唐米拉务发电有限公司招聘公告,2020-04-16已结束
大唐印尼电力运营有限公司招聘公告,2020-04-13已结束
大唐四川发电有限公司所属企业2020年招聘公告,2020-03-26已结束
中国大唐集团智慧能源产业有限公司招聘公告,2020-03-10已结束
中国大唐集团未来能源科技创新中心有限公司招聘公告,2020-02-19已结束
中国大唐集团海外规划发展中心招聘公告,2020-02-19已结束
中国大唐集团境外代表处招聘公告,2020-01-15已结束
大唐内蒙古分公司所属企业招聘启事,2020-01-15已结束
中国大唐集团有限公司纪检监察组2019年社会招聘公告,2019-11-06已结束
大唐河北发电有限公司王快发电分公司招聘启事,2019-08-26已结束
广东大唐国际雷州发电有限责任公司招聘启事,2019-08-14已结束
中国大唐集团技术经济研究院有限责任公司唐韵会议中心招聘启示,2019-08-14已结束
中国大唐集团有限公司华北电力运营分公司招聘方案,2019-08-09已结束
大唐新能源西南公司2019年招聘启事,2019-07-26已结束
大唐印尼米拉务225MW×2项目招聘公告,2019-07-12已结束
大唐印尼米拉务225MW×2项目招聘公告,2019-07-12已结束
大唐四川发电有限公司所属企业招聘公告,2020-05-28已结束
中国大唐集团太阳能产业有限公司招聘公告,2020-05-12已结束
辽宁庄河核电有限公司招聘启事,2020-04-30已结束
大唐京津冀能源开发有限公司张家口新能源事业部招聘启事,2020-04-26已结束
大唐米拉务发电有限公司招聘公告,2020-04-16已结束
大唐印尼电力运营有限公司招聘公告,2020-04-13已结束
大唐四川发电有限公司所属企业2020年招聘公告,2020-03-26已结束
中国大唐集团智慧能源产业有限公司招聘公告,2020-03-10已结束
中国大唐集团未来能源科技创新中心有限公司招聘公告,2020-02-19已结束
中国大唐集团海外规划发展中心招聘公告,2020-02-19已结束
中国大唐集团境外代表处招聘公告,2020-01-15已结束
大唐内蒙古分公司所属企业招聘启事,2020-01-15已结束
中国大唐集团有限公司纪检监察组2019年社会招聘公告,2019-11-06已结束
大唐河北发电有限公司王快发电分公司招聘启事,2019-08-26已结束
广东大唐国际雷州发电有限责任公司招聘启事,2019-08-14已结束
中国大唐集团技术经济研究院有限责任公司唐韵会议中心招聘启示,2019-08-14已结束
中国大唐集团有限公司华北电力运营分公司招聘方案,2019-08-09已结束
大唐新能源西南公司2019年招聘启事,2019-07-26已结束
大唐印尼米拉务225MW×2项目招聘公告,2019-07-12已结束
大唐印尼米拉务225MW×2项目招聘公告,2019-07-12已结束
大唐内蒙古分公司所属企业招聘启事,2019-01-28已结束
大唐新能源广东公司2019年生产技术骨干招聘公告,2019-01-16已结束
内蒙古大唐国际克什克腾煤制天然气有限责任公司招聘（系统外）公告,2019-01-16已结束
辽宁大唐国际阜新煤制天然气有限责任公司招聘（系统外）公告,2019-01-16已结束
中国大唐集团煤业有限责任公司本部及所属企业2018年社会招聘公告,2018-12-20已结束
大唐青海能源开发有限公司所管企业2018年在职招聘公告,2018-11-21已结束
中国大唐集团有限公司宁夏分公司新能源事业部系统外招聘启事,2018-11-19已结束
中国大唐集团技术经济研究院有限责任公司本部招聘启示,2018-09-11已结束
中新能化科技有限公司、内蒙古大唐国际多伦水利水电综合开发有限公司招聘启事,2018-08-23已结束
