title,date
北京融和云链科技有限公司招聘公告,2021-06-22
国家电投财务共享中心选聘公告,2021-06-22
中国电力国际发展有限公司招聘公告,2021-06-18
国家电力投资集团有限公司海南分公司社会招聘公告,2021-06-18
国家电投集团徐闻风力发电有限公司2021年招聘公告,2021-06-15
国家电投集团福建电力有限公司本部及所属单位招聘公告,2021-06-15
国家电投集团远达环保股份有限公司招聘公告,2021-06-11
中电投（深圳）能源发展有限公司2021年度招聘公告,2021-06-09
珠海横琴能源发展有限公司2021年招聘公告,2021-06-09
广东公司审计部审计监督岗位公开选聘公告,2021-06-09
“再出发”专场招聘——东方能源（河北公司、雄安公司...,2021-06-09
国家电投香港财资管理有限公司公开招聘公告,2021-06-08
中国电能成套设备有限公司所属单位公开招聘公告,2021-06-03
中国电力中电永新运营有限公司招聘公告,2021-05-28
国家电投集团福建电力有限公司所属单位招聘公告,2021-05-28
国家电投安徽分公司招聘公告,2021-05-26
国家电投集团徐闻风力发电有限公司2021年5月招聘公告,2021-05-25
中国电力国际发展有限公司招聘公告,2021-05-24
国家电力投资集团公司湖北分公司招聘公告,2021-05-21
国家电投集团甘肃新能源有限公司招聘公告,2021-05-18
上海电力生产技术骨干人才招募公告,2021-05-17
国家电投集团铝电投资有限公司公开招聘公告,2021-05-17
国家电力投资集团公司陕西分公司招聘公告,2021-05-14
中国电力中电（沈阳）能源投资有限公司人员招聘公告,2021-05-14
国家电力投资集团有限公司黑龙江分公司招聘公告,2021-05-14
国家电投集团福建电力有限公司所属单位招聘公告,2021-05-14
中国电力中电智慧综合能源有限公司招聘公告,2021-05-10
上海交通大学国家电投智慧能源创新学院本科高年级国家...,2021-05-06
国家电力投资集团有限公司浙江分公司2021年校园招聘公告,2021-05-06
中国电力国际发展有限公司招聘公告,2021-05-06
国家电力投资集团有限公司海南分公司社会招聘公告,2021-05-01
国家电力投资集团有限公司山西分公司招聘公告,2021-05-01
国家电力投资集团有限公司西藏分公司招聘公告,2021-04-28
中电（江门）综合能源有限公司招聘公告,2021-04-28
国家电投集团福建电力有限公司招聘公告,2021-04-25
中国电力国际发展有限公司招聘公告,2021-04-21
国家电投集团财务有限公司招聘公告,2021-04-20
国家电投集团福建电力有限公司所属单位招聘公告,2021-04-20
国家电投集团珠海横琴热电有限公司2021年度招聘公告,2021-04-19
江西核电有限公司招聘公告,2021-04-15
铝电公司绿动未来能源有限公司公开招聘公告,2021-04-15
国家电投集团商业模式创新中心招聘公告,2021-04-15
北京融和云链科技有限公司招聘公告,2021-04-15
国家电力投资集团有限公司西藏分公司招聘公告,2021-04-12
中国电力国际发展有限公司招聘公告,2021-04-12
开平智慧能源有限公司2021年招聘公告,2021-04-09
中电（四会）热电有限责任公司2021年度招聘公告,2021-04-09
国家电投集团福建电力有限公司河南项目部招聘公告,2021-04-07
广东公司综合部副主任干部岗位公开选聘公告,2021-04-03
国家电投集团揭东能源有限公司2021年度招聘公告,2021-04-03
国家电力投资集团有限公司海南分公司社会招聘公告,2021-03-30
国家电投集团福建电力有限公司所属单位招聘公告,2021-03-29
国家电力投资集团有限公司西藏分公司招聘公告,2021-03-29
国家电投集团北京电力有限公司所属单位招聘公告,2021-03-24
国家电投集团徐闻风力发电有限公司招聘公告,2021-03-23
国家电投集团广东揭阳前詹风电有限公司招聘公告,2021-03-23
国家电投集团福建电力有限公司所属单位招聘公告,2021-03-23
中国电能成套设备有限公司2021年高校毕业生春季招聘公告,2021-03-19
国家电投集团基金管理有限公司公开招聘公告,2021-03-16
国家电投集团能源科技工程有限公司国家电投集团风电产...,2021-03-16
国家电投集团福建电力有限公司所属单位招聘公告,2021-03-12
国电投（海南）财资管理有限公司招聘公告,2021-03-12
国家电投广东电力有限公司2021年全球校园招聘,2021-03-11
国核宝钛锆业股份公司计划与财务部总经理选聘公告,2021-03-11
国家电投浙江分公司及所属单位招聘公告,2021-03-10
国家电投大学（战略研究院）社会招聘公告,2021-03-03
国核湛江核电有限公司2021年校园招聘公告,2021-03-03
国家电力投资集团有限公司海南分公司社会招聘公告,2021-03-02
国家电力投资集团有限公司黑龙江分公司招聘公告,2021-03-01
国电投（河南）新动力科技有限公司,2021-02-26
国家电投集团福建电力有限公司所属单位招聘公告,2021-02-24
国核湛江核电有限公司招聘公告,2021-02-20
中电投广西核电有限公司2021年校园招聘公告,2021-02-20
国家电投集团福建电力有限公司招聘公告,2021-02-19
国家电投山东分公司社会招聘公告,2021-02-10
国家电投集团资产管理有限公司招聘公告,2021-02-10
国家电投浙江分公司及所属单位招聘公告,2021-02-08
国家电投集团新疆能源化工有限责任公司招聘公告,2021-02-07
国家电投集团北京电力有限公司招聘公告,2021-02-03
国家电力投资集团有限公司新闻中心招聘公告,2021-01-28
国家电投集团广东电力有限公司社会招聘公告,2021-01-26
国家电力投资集团有限公司选聘公告,2021-01-25
国家电力投资集团有限公司山西分公司招聘公告（第二批）,2021-01-22
国家电力投资集团有限公司山西分公司招聘公告,2021-01-19
国家电投集团福建电力有限公司招聘公告,2021-01-17
国家电投集团铝电投资有限公司公开招聘公告,2021-01-08
北京宝之谷农业科技开发有限公司总经理岗位公开选聘公告,2021-01-04
国电投产融商投资平台有限公司公开招聘公告,2021-01-04
国家电投安徽分公司招聘公告,2020-12-30
国家电力投资集团有限公司山东分公司2021年校园招聘公告,2020-12-30
国家电力投资集团有限公司海南分公司社会招聘公告,2020-12-22
国家电力投资集团有限公司西藏分公司招聘公告,2020-12-10
国家电力投资集团有限公司山东分公司2021年校园招聘公告,2020-12-10
广西长洲水利枢纽一、二线船闸及库区泵站运维岗位人员...,2020-12-09
国家电投集团福建电力有限公司本部及所属单位招聘公告,2020-11-27
国家电投集团揭东能源有限公司2020年度招聘公告,2020-11-27
中国电力国际发展有限公司招聘公告,2020-11-16
国家电力投资集团公司陕西分公司招聘公告,2020-11-16
国家电投集团广东公司工程管理部主任等5个管理岗位公开...,2020-11-13
国家电投集团资本控股有限公司招聘公告,2020-11-11
中国电力国际发展有限公司2021年度校园招聘公告,2020-11-08
国家电投集团采购与招投标管理及服务中心部分岗位公开...,2020-11-02
国家电力投资集团有限公司山西分公司招聘公告,2020-10-30
国家电投浙江分公司所属中心、所属单位招聘公告,2020-10-29
国家电投集团云南国际电力投资有限公司2021届毕业生招...,2020-10-27
国家电投集团河南电力有限公司招聘公告,2020-10-27
中国联合重型燃气轮机技术有限公司2021年社会招聘公告,2020-10-26
山东电力工程咨询院有限公司2021年度校园招聘简章,2020-10-26
国家电力投资集团公司湖北分公司招聘公告,2020-10-23
国家电投集团广东电力有限公司2021年应届毕业生招聘公告,2020-10-23
国家电投甘肃分公司新能源电站运维人员招聘公告,2020-10-22
巴西能源公司招聘公告,2020-10-22
国家电力投资集团有限公司浙江分公司2021年校园招聘公告,2020-10-21
国家电投集团新疆能源化工有限责任公司招聘公告,2020-10-20
国家电投集团江苏电力有限公司招聘公告,2020-10-14
中国电力国际发展有限公司招聘公告,2020-10-14
国家电力投资集团有限公司海南分公司社会公开招聘公告,2020-10-13
中国电能成套设备有限公司2021年高校毕业生招聘公告,2020-10-13
中国电能成套设备有限公司部分岗位公开招聘工作公告,2020-10-10
北京融和云链科技有限公司招聘公告,2020-10-09
中电投（深圳）能源发展有限公司2020年度招聘公告,2020-09-30
国家电投集团基金管理有限公司公开招聘公告,2020-09-27
中国联合重型燃气轮机技术有限公司2021年高校毕业生招...,2020-09-21
国家电投北京公司公开招聘公告,2020-09-18
国家电投集团福建电力有限公司本部及所属单位招聘公告,2020-09-16
国家电投集团徐闻风力发电有限公司第三季度招聘公告,2020-09-15
中电投广西核电有限公司招聘公告,2020-09-15
宁波绿动燃料电池有限公司招聘公告,2020-09-08
国家电投集团江西电力有限公司,2020-09-04
国电投（天津）投资管理有限公司招聘公告,2020-09-04
霸州中电环保发电有限公司招聘公告,2020-09-01
国家电投集团基金管理有限公司公开招聘公告,2020-08-30
山东核电设备制造有限公司社会人才招聘公告,2020-08-30
国家电投集团揭东能源有限公司2020年度招聘公告,2020-08-27
国家电投集团电站运营技术（北京）有限公司公开招聘公告,2020-08-26
国家电投安徽分公司招聘公告,2020-08-26
国家电力投资集团有限公司海南分公司社会公开招聘公告,2020-08-22
中电（商丘）热电有限公司招聘公告,2020-08-14
国家电投集团江西电力有限公司社会公开招聘公告,2020-08-11
国家电力投资集团公司湖北分公司招聘公告,2020-08-11
国家电投集团信息技术有限公司招聘公告,2020-08-11
国家电力投资集团有限公司高级管理人员公开选聘公告,2020-08-10
中国电力国际有限公司招聘公告,2020-08-07
国家电投集团四川电力有限公司公开招聘公告,2020-08-05
国家电投集团江西电力有限公司社会公开招聘公告,2020-08-05
宁波绿动氢能产业创新研究院有限公司公开社会招聘公告,2020-07-31
揭阳前詹风电有限公司招聘公告,2020-07-28
上海电力股份有限公司境外项目财务负责人选聘公告,2020-07-28
四川智慧绿动能源有限公司招聘公告,2020-07-24
山东电力工程咨询院有限公司2020年度社会招聘公告（第...,2020-07-21
国家电投集团战略研究院招聘公告,2020-07-21
内蒙古公司本部公开选聘公告,2020-07-20
中电投（深圳）能源发展公司2020年度招聘公告,2020-07-16
开平智慧能源有限公司2020年第三季度招聘公告,2020-07-16
国家电投集团珠海横琴热电有限公司2020年度第三季度招...,2020-07-16
国家电投集团徐闻风力发电有限公司2020年第三季度招聘公告,2020-07-16
国家电投水电产业创新中心招聘公告,2020-07-14
国家电投集团能源科技工程公司国家电投风电产业创...,2020-07-10
武汉绿动氢能能源技术有限公司公开社会招聘公告,2020-07-10
国家电力投资集团公司陕西分公司招聘公告,2020-07-10
国家电力投资集团有限公司西藏分公司副总经理选聘公告,2020-07-07
中国电力国际有限公司招聘公告,2020-07-07
内蒙古巴音新能源有限公司招聘公告,2020-07-07
五凌电力宁夏事业部招聘公告,2020-07-07
国家电投集团财务有限公司招聘公告,2020-07-03
贵州金元陕西金元新能源有限公司招聘启事,2020-07-02
漳州国电投新能源有限公司招聘公告,2020-06-30
天津绿动未来能源管理有限公司招聘公告,2020-06-24
国家电投集团资产管理公司所属单位副总经理招聘公告,2020-06-24
国家电投安徽分公司招聘公告,2020-06-23
国家电投集团江西电力有限公司社会招聘公告,2020-06-23
国家电投集团氢能科技发展有限公司经理层选聘公告,2020-06-19
广东金元新能源有限公司招聘启事,2020-06-17
五凌电力宁夏事业部招聘公告,2020-06-09
漳州国电投新能源有限公司招聘公告,2020-06-04
国家电投集团东方能源（河北公司）招聘公告,2020-06-02
北京融和云链科技有限公司招聘公告,2020-05-28
内蒙古巴音新能源有限公司招聘公告,2020-05-27
国家电投集团科学技术研究院有限公司公开招聘公告,2020-05-27
国家电力投资集团公司湖北分公司招聘公告,2020-05-27
国家电投集团宁波氢远能源材料有限公司公开招聘公告,2020-05-27
珠海横琴能源发展有限公司2020年度招聘公告,2020-05-25
国家电投集团山东电力工程咨询院有限公司总法律顾问招...,2020-05-25
国家电投集团综合智慧能源科技有限公司（国核电力...,2020-05-21
国家电力投资集团有限公司黑龙江分公司招聘公告,2020-05-20
中电（江门）综合能源有限公司招聘公告,2020-05-20
中电（四会）热电有限责任公司2020年度招聘公告,2020-05-20
中电投（深圳）能源发展有限公司2020年度招聘公告,2020-05-20
开平智慧能源有限公司2020年度招聘公告,2020-05-20
国家电投集团珠海横琴热电有限公司2020年度招聘公告,2020-05-20
国核湛江核电有限公司招聘公告,2020-05-15
国电投河南新能源有限公司招聘公告,2020-05-12
国家电投集团能源科技工程公司国家电投风电产业创...,2020-05-08
国电投清洁能源基金管理有限公司公开招聘公告,2020-04-28
中电国际新能源海南有限公司招聘公告,2020-04-28
中电（沈阳）能源投资有限公司招聘公告,2020-04-28
汇能（宁波）电力研究院有限公司2020年度社会招聘公告,2020-04-28
绿能智慧牧场筹建处招聘公告,2020-04-24
国家电投安徽分公司招聘公告,2020-04-22
国家电力投资集团公司湖北分公司招聘公告,2020-04-22
国核资本控股有限公司公开招聘招聘公告,2020-04-22
国家电投国际投资开发（几内亚）有限公司招聘公告,2020-04-22
国家电投集团国核示范电站有限责任公司财务部副主任、...,2020-04-21
集团公司商业模式创新中心招聘公告,2020-04-15
山东电力工程咨询院有限公司2020年度社会招聘公告,2020-04-15
国家电力投资集团公司湖北分公司招聘公告,2020-04-15
国家电投集团江苏电力有限公司招聘公告,2020-04-15
国家电投国际贸易（北京）有限公司招聘公告,2020-04-10
蒙东协合新能源有限公司招聘公告,2020-04-09
国家电投集团铝电投资有限公司财务岗位招聘公告,2020-04-09
国家电力投资集团有限公司西藏分公司招聘公告,2020-04-09
中电（沈阳）能源投资有限公司招聘公告,2020-04-02
中电永新运营有限公司招聘公告,2020-04-02
商丘中电环保发电有限公司招聘公告,2020-04-02
琼海中电环保发电有限公司招聘公告,2020-04-02
凤台中电生物质发电有限公司招聘公告,2020-04-02
国家电力投资集团有限公司受理反映拖欠民营企业账款和...,2020-03-31
山东省能源规划发展研究中心招聘公告,2020-03-26
开平智慧能源有限公司2020年度招聘公告,2020-03-20
苏州天河中电电力工程技术有限公司招聘公告,2020-03-13
中电投（深圳）电力销售有限公司2020年度招聘公告,2020-03-13
国家电投集团贵州遵义产业发展有限公司招聘公告,2020-03-13
中国联合重型燃气轮机技术有限公司2020年社会招聘公告,2020-03-13
国家电投集团中央研究院科技管理部社会公开招聘公告,2020-03-11
中电（普安）发电有限责任公司招聘公告,2020-03-10
